CIR_Filename,Easting,Northing,Altitude,Omega,Phi,Kappa
227_RGB_110757_rgbi.tif,562953.255,5727097.955,1138.159,1.04004,-4.27604,-126.13550
228_RGB_110758_rgbi.tif,563094.131,5727292.112,1140.826,2.41830,-2.43301,-125.63534
229_RGB_110759_rgbi.tif,563235.303,5727487.673,1143.319,2.11784,-2.65751,-125.69495
230_RGB_110760_rgbi.tif,563374.838,5727683.795,1145.111,1.23807,-3.65779,-124.86510
231_RGB_110761_rgbi.tif,563510.895,5727881.912,1145.773,2.48548,-1.42669,-123.94564
232_RGB_110762_rgbi.tif,563646.734,5728080.931,1145.748,3.68506,0.56111,-124.20475
233_RGB_110763_rgbi.tif,563786.354,5728277.439,1145.367,2.93364,-0.32230,-126.23069
234_RGB_110764_rgbi.tif,564163.144,5727677.394,1139.761,-2.73899,1.54558,52.06799
235_RGB_110765_rgbi.tif,564020.295,5727485.304,1140.110,-1.54232,3.18661,51.55330
236_RGB_110766_rgbi.tif,563877.303,5727290.530,1140.647,-2.06571,2.65378,52.67722
237_RGB_110767_rgbi.tif,563736.585,5727096.167,1141.620,-3.16359,1.32414,52.67094
238_RGB_110768_rgbi.tif,563594.239,5726902.257,1142.960,-1.94578,2.85010,52.04079
239_RGB_110769_rgbi.tif,563452.619,5726707.779,1143.361,-0.60884,3.72419,53.09808
240_RGB_110770_rgbi.tif,563313.683,5726511.700,1141.263,-1.95968,0.77708,53.49298
241_RGB_110771_rgbi.tif,563173.798,5726315.134,1137.005,-1.03955,1.66474,53.32248
242_RGB_110772_rgbi.tif,563034.790,5726118.456,1132.428,-1.01757,1.82990,53.85801
243_RGB_110773_rgbi.tif,562897.128,5725921.058,1129.032,-1.06569,2.29031,54.21376
244_RGB_110774_rgbi.tif,562760.389,5725723.617,1127.276,-3.29448,-0.30852,53.66688
245_RGB_110775_rgbi.tif,562620.364,5725527.113,1126.691,-2.20485,1.74705,53.36512
246_RGB_110776_rgbi.tif,562480.961,5725332.369,1127.214,-2.27241,2.20517,53.49436
247_RGB_110777_rgbi.tif,562341.147,5725135.987,1129.092,-2.16047,2.71894,53.52946
248_RGB_110778_rgbi.tif,562202.550,5724939.223,1131.307,-2.88659,1.64034,53.83379
249_RGB_110779_rgbi.tif,562062.367,5724741.997,1132.578,-3.94264,-0.31313,52.92605
250_RGB_110780_rgbi.tif,561920.284,5724550.175,1132.428,-3.31088,-0.06053,51.66919
251_RGB_110781_rgbi.tif,561772.869,5724357.451,1130.947,-0.55331,2.99221,51.47789
252_RGB_110782_rgbi.tif,561630.415,5724165.742,1128.314,-0.15119,3.41241,53.30101
253_RGB_110783_rgbi.tif,561490.876,5723968.896,1126.103,-0.52664,3.17180,53.86945
254_RGB_110784_rgbi.tif,561354.776,5723770.291,1124.875,-1.41394,2.33563,54.92670
255_RGB_110785_rgbi.tif,561219.880,5723570.388,1124.451,-3.43811,-0.34439,54.41058
256_RGB_110786_rgbi.tif,561081.986,5723373.576,1124.495,-3.17701,0.31298,53.08178
257_RGB_110787_rgbi.tif,560940.402,5723177.783,1125.185,-1.75121,2.51044,52.87975
258_RGB_110788_rgbi.tif,560800.826,5722982.692,1126.300,-0.79814,4.03853,53.83333
259_RGB_110789_rgbi.tif,560664.342,5722785.765,1127.582,-3.66637,0.05063,54.17052
260_RGB_110790_rgbi.tif,560523.848,5722589.333,1128.663,-3.90765,-0.30687,52.30041
261_RGB_110791_rgbi.tif,560379.687,5722396.731,1129.364,-1.76864,2.50242,51.88827
262_RGB_110792_rgbi.tif,560236.339,5722203.861,1129.945,-1.54421,2.71926,52.69526
263_RGB_110793_rgbi.tif,560094.645,5722009.740,1130.345,-2.31346,1.71369,52.86785
264_RGB_110794_rgbi.tif,559952.333,5721815.415,1130.816,-2.83506,1.06328,52.41711
265_RGB_110795_rgbi.tif,559809.162,5721622.292,1131.277,-1.32690,3.01205,52.46275
266_RGB_110796_rgbi.tif,559667.490,5721427.669,1131.668,-1.24479,3.04326,53.31045
267_RGB_110797_rgbi.tif,559528.064,5721231.626,1132.027,-2.26143,1.57332,53.64151
268_RGB_110798_rgbi.tif,559387.886,5721035.042,1132.444,-2.95757,0.68901,53.18580
269_RGB_110799_rgbi.tif,559246.367,5720841.251,1133.140,-3.52172,0.04582,52.33786
270_RGB_110800_rgbi.tif,559101.369,5720649.416,1134.210,-2.09994,2.18335,51.46618
271_RGB_110801_rgbi.tif,558956.205,5720457.871,1135.979,-1.55360,3.16050,52.18081
272_RGB_110802_rgbi.tif,558812.215,5720263.666,1138.356,-1.49968,3.13288,52.65000
273_RGB_110803_rgbi.tif,558671.628,5720068.696,1140.044,-0.62309,3.68424,53.79528
274_RGB_110804_rgbi.tif,559495.246,5720100.222,1140.614,4.48574,1.13194,-127.77538
275_RGB_110805_rgbi.tif,559644.166,5720289.135,1141.648,1.77523,-2.83663,-129.05984
276_RGB_110806_rgbi.tif,559793.231,5720479.306,1143.611,0.22516,-5.48056,-127.24327
277_RGB_110807_rgbi.tif,559934.261,5720672.833,1146.472,1.08300,-4.67034,-125.06336
278_RGB_110808_rgbi.tif,560071.253,5720870.785,1149.226,2.06653,-2.80806,-124.46500
279_RGB_110809_rgbi.tif,560206.527,5721070.252,1150.674,2.50733,-1.08832,-124.03819
280_RGB_110810_rgbi.tif,560342.171,5721269.168,1148.923,2.82146,1.31782,-125.24358
